time	V(vo)	I(Ro)
1.003653658507297e-05	2.391881e+01	4.271216e-01
1.004052576018648e-05	2.391864e+01	4.271186e-01
1.004658645699548e-05	2.391838e+01	4.271140e-01
1.005504514375866e-05	2.391802e+01	4.271075e-01
1.007196251728674e-05	2.391730e+01	4.270946e-01
1.010579726434119e-05	2.391585e+01	4.270688e-01
1.013718955446795e-05	2.391451e+01	4.270449e-01
1.016021641138919e-05	2.391353e+01	4.270273e-01
1.017625481705177e-05	2.391285e+01	4.270151e-01
1.018826610655992e-05	2.391233e+01	4.270059e-01
1.019810375401005e-05	2.391191e+01	4.269984e-01
1.020761292131606e-05	2.391151e+01	4.269912e-01
1.021751509373142e-05	2.391109e+01	4.269837e-01
1.022705352727443e-05	2.391068e+01	4.269764e-01
1.023714261823121e-05	2.391025e+01	4.269688e-01
1.025623665927393e-05	2.390944e+01	4.269542e-01
1.027982684904775e-05	2.390843e+01	4.269363e-01
1.030910540777454e-05	2.390719e+01	4.269141e-01
1.033569958300631e-05	2.390606e+01	4.268939e-01
1.036423933408609e-05	2.390485e+01	4.268723e-01
1.039514619129329e-05	2.390355e+01	4.268490e-01
1.043041572824054e-05	2.390206e+01	4.268225e-01
1.044918546442945e-05	2.390127e+01	4.268085e-01
1.046039461957519e-05	2.390081e+01	4.268001e-01
1.046697468251243e-05	2.390053e+01	4.267952e-01
1.047089498537254e-05	2.390037e+01	4.267924e-01
1.047328575937492e-05	2.390027e+01	4.267906e-01
1.047477982606300e-05	2.390021e+01	4.267895e-01
1.047572643844523e-05	2.390017e+01	4.267888e-01
1.047633234395155e-05	2.390015e+01	4.267884e-01
1.047681233916180e-05	2.390013e+01	4.267881e-01
1.047734260606684e-05	2.390011e+01	4.267878e-01
1.047789191808111e-05	2.390010e+01	4.267875e-01
1.047860090778313e-05	2.390009e+01	4.267872e-01
1.047954450456023e-05	2.390008e+01	4.267871e-01
1.048122860098852e-05	2.390010e+01	4.267876e-01
1.048360996954746e-05	2.390019e+01	4.267891e-01
1.048653102435348e-05	2.390035e+01	4.267921e-01
1.048928842006976e-05	2.390055e+01	4.267955e-01
1.049274559630255e-05	2.390080e+01	4.268000e-01
1.049750134171808e-05	2.390115e+01	4.268063e-01
1.050701283254914e-05	2.390186e+01	4.268190e-01
1.052603581420952e-05	2.390329e+01	4.268444e-01
1.054470284959051e-05	2.390469e+01	4.268695e-01
1.056643183211525e-05	2.390632e+01	4.268987e-01
1.059049846532413e-05	2.390814e+01	4.269310e-01
1.061560969337939e-05	2.391003e+01	4.269648e-01
1.064292201018863e-05	2.391208e+01	4.270014e-01
1.067348678743772e-05	2.391437e+01	4.270423e-01
1.070901169125150e-05	2.391703e+01	4.270898e-01
1.075138573312581e-05	2.392019e+01	4.271462e-01
1.080407018225205e-05	2.392410e+01	4.272161e-01
1.087245172917001e-05	2.392916e+01	4.273064e-01
1.096562974240052e-05	2.393599e+01	4.274285e-01
1.109834710981070e-05	2.394563e+01	4.276006e-01
1.128582949430114e-05	2.395906e+01	4.278403e-01
1.152582949430145e-05	2.397594e+01	4.281419e-01
1.176582949430176e-05	2.399249e+01	4.284374e-01
1.200582949430207e-05	2.400869e+01	4.287265e-01
1.224582949430238e-05	2.402452e+01	4.290093e-01
1.248582949430269e-05	2.404000e+01	4.292856e-01
1.272582949430300e-05	2.405511e+01	4.295556e-01
1.296582949430330e-05	2.406987e+01	4.298191e-01
1.320582949430361e-05	2.408427e+01	4.300762e-01
1.344582949430392e-05	2.409831e+01	4.303270e-01
1.368582949430423e-05	2.411200e+01	4.305714e-01
1.416582949430485e-05	2.413829e+01	4.310409e-01
1.488582949430578e-05	2.417505e+01	4.316972e-01
1.522868663716337e-05	2.419141e+01	4.319895e-01
1.557154378002095e-05	2.420705e+01	4.322688e-01
1.591440092287854e-05	2.422196e+01	4.325351e-01
1.625725806573612e-05	2.423614e+01	4.327883e-01
1.660011520859371e-05	2.424960e+01	4.330285e-01
1.694297235145129e-05	2.426232e+01	4.332556e-01
1.728582949430887e-05	2.427431e+01	4.334698e-01
1.752582949430918e-05	2.428230e+01	4.336126e-01
1.767766666668259e-05	2.428721e+01	4.337002e-01
1.767866666668207e-05	2.428724e+01	4.337008e-01
1.768066666668101e-05	2.428731e+01	4.337019e-01
1.768466666667891e-05	2.428743e+01	4.337042e-01
1.769266666667470e-05	2.428769e+01	4.337087e-01
1.770866666666628e-05	2.428819e+01	4.337176e-01
1.774066666664943e-05	2.428918e+01	4.337354e-01
1.780466666661575e-05	2.429116e+01	4.337708e-01
1.780566666661522e-05	2.429119e+01	4.337713e-01
1.780766666661417e-05	2.429126e+01	4.337724e-01
1.781166666661206e-05	2.429138e+01	4.337746e-01
1.781966666660785e-05	2.429162e+01	4.337790e-01
1.783566666659943e-05	2.429211e+01	4.337877e-01
1.786766666658259e-05	2.429309e+01	4.338051e-01
1.786866666658206e-05	2.429312e+01	4.338056e-01
1.787066666658101e-05	2.429318e+01	4.338067e-01
1.787466666657890e-05	2.429330e+01	4.338089e-01
1.788266666657469e-05	2.429354e+01	4.338132e-01
1.789866666656627e-05	2.429402e+01	4.338218e-01
1.789966666656574e-05	2.429405e+01	4.338224e-01
1.790166666656469e-05	2.429411e+01	4.338234e-01
1.790566666656258e-05	2.429423e+01	4.338256e-01
1.790966666668711e-05	2.429435e+01	4.338277e-01
1.791066666668659e-05	2.429438e+01	4.338283e-01
1.791266666668553e-05	2.429444e+01	4.338293e-01
1.791366666668501e-05	2.429447e+01	4.338299e-01
1.791566666668395e-05	2.429453e+01	4.338309e-01
1.791666666668343e-05	2.429456e+01	4.338315e-01
1.791766666668290e-05	2.429459e+01	4.338320e-01
1.791776666668250e-05	2.429460e+01	4.338321e-01
1.791796666668170e-05	2.429460e+01	4.338322e-01
1.791826666668224e-05	2.429461e+01	4.338323e-01
1.791866666668238e-05	2.429462e+01	4.338326e-01
1.791870666668222e-05	2.429462e+01	4.338326e-01
1.791878666668190e-05	2.429463e+01	4.338326e-01
1.791894666668126e-05	2.429463e+01	4.338327e-01
1.791926666668171e-05	2.429464e+01	4.338329e-01
1.791990666668263e-05	2.429466e+01	4.338332e-01
1.792109994462610e-05	2.429470e+01	4.338339e-01
1.792348650051130e-05	2.429477e+01	4.338351e-01
1.792717714195480e-05	2.429488e+01	4.338371e-01
1.793072866293835e-05	2.429498e+01	4.338390e-01
1.793462535694575e-05	2.429510e+01	4.338411e-01
1.793838177677372e-05	2.429521e+01	4.338431e-01
1.794122480430586e-05	2.429530e+01	4.338446e-01
1.794300562993519e-05	2.429535e+01	4.338456e-01
1.794471291268612e-05	2.429540e+01	4.338465e-01
1.794562051136116e-05	2.429543e+01	4.338470e-01
1.794671613388095e-05	2.429546e+01	4.338475e-01
1.794844223420265e-05	2.429552e+01	4.338485e-01
1.795025639804958e-05	2.429557e+01	4.338495e-01
1.795224961666751e-05	2.429563e+01	4.338505e-01
1.795347742350288e-05	2.429567e+01	4.338512e-01
1.795496004091193e-05	2.429571e+01	4.338520e-01
1.795639349068054e-05	2.429576e+01	4.338528e-01
1.795781735689818e-05	2.429580e+01	4.338535e-01
1.796028969172983e-05	2.429588e+01	4.338549e-01
1.796441566843249e-05	2.429601e+01	4.338572e-01
1.796864885754423e-05	2.429614e+01	4.338597e-01
1.797711523576946e-05	2.429642e+01	4.338647e-01
1.798499272246366e-05	2.429668e+01	4.338692e-01
1.798848814324461e-05	2.429675e+01	4.338706e-01
1.799105388081840e-05	2.429669e+01	4.338695e-01
1.799318437865384e-05	2.429642e+01	4.338646e-01
1.799587096222750e-05	2.429561e+01	4.338503e-01
1.799885398505452e-05	2.429422e+01	4.338253e-01
1.799976537376034e-05	2.429370e+01	4.338161e-01
1.800010285066787e-05	2.429354e+01	4.338133e-01
1.800017228464727e-05	2.429353e+01	4.338130e-01
1.800021650102263e-05	2.429353e+01	4.338130e-01
