x-axis,4,MATH
second,Volt,Volt
+2.30000E-06,-187.50000000E-03,+1.09375000000E+00
+2.35000E-06,-187.50000000E-03,+2.96875000000E+00
+2.40000E-06,-187.50000000E-03,+3.43750000000E+00
+2.45000E-06,-187.50000000E-03,+3.43750000000E+00
+2.50000E-06,-187.50000000E-03,+3.43750000000E+00
+2.55000E-06,-31.25000000E-03,+3.43750000000E+00
+2.60000E-06,-187.50000000E-03,+3.28125000000E+00
+2.65000E-06,-187.50000000E-03,+3.43750000000E+00
+2.70000E-06,-187.50000000E-03,+3.43750000000E+00
+2.75000E-06,-31.25000000E-03,+3.43750000000E+00
+2.80000E-06,-187.50000000E-03,+3.43750000000E+00
+2.85000E-06,-187.50000000E-03,+3.43750000000E+00
+2.90000E-06,-187.50000000E-03,+3.43750000000E+00
+2.95000E-06,-31.25000000E-03,+3.28125000000E+00
+3.00000E-06,-187.50000000E-03,+3.28125000000E+00
+3.05000E-06,-187.50000000E-03,+3.28125000000E+00
+3.10000E-06,-187.50000000E-03,+3.28125000000E+00
+3.15000E-06,-187.50000000E-03,+3.28125000000E+00
+3.20000E-06,-187.50000000E-03,+3.28125000000E+00
+3.25000E-06,+125.00000000E-03,+3.28125000000E+00
+3.30000E-06,-187.50000000E-03,+3.28125000000E+00
+3.35000E-06,-187.50000000E-03,+3.28125000000E+00
+3.40000E-06,-187.50000000E-03,+3.28125000000E+00
+3.45000E-06,-31.25000000E-03,+3.28125000000E+00
+3.50000E-06,-31.25000000E-03,+3.28125000000E+00
+3.55000E-06,-31.25000000E-03,+3.28125000000E+00
+3.60000E-06,-187.50000000E-03,+3.28125000000E+00
+3.65000E-06,-187.50000000E-03,+3.28125000000E+00
+3.70000E-06,-187.50000000E-03,+3.28125000000E+00
+3.75000E-06,-31.25000000E-03,+3.28125000000E+00
+3.80000E-06,-343.75000000E-03,+3.28125000000E+00
+3.85000E-06,-187.50000000E-03,+3.28125000000E+00
+3.90000E-06,-187.50000000E-03,+3.28125000000E+00
+3.95000E-06,-187.50000000E-03,+3.28125000000E+00
+4.00000E-06,-187.50000000E-03,+3.28125000000E+00
+4.05000E-06,-31.25000000E-03,+3.28125000000E+00
+4.10000E-06,-187.50000000E-03,+3.28125000000E+00
+4.15000E-06,-31.25000000E-03,+3.28125000000E+00
+4.20000E-06,-187.50000000E-03,+3.28125000000E+00
+4.25000E-06,-187.50000000E-03,+3.28125000000E+00
+4.30000E-06,-187.50000000E-03,+3.28125000000E+00
+4.35000E-06,-31.25000000E-03,+3.28125000000E+00
+4.40000E-06,-187.50000000E-03,+3.28125000000E+00
+4.45000E-06,-31.25000000E-03,+3.28125000000E+00
+4.50000E-06,-187.50000000E-03,+3.28125000000E+00
+4.55000E-06,-31.25000000E-03,+3.28125000000E+00
+4.60000E-06,-187.50000000E-03,+3.28125000000E+00
+4.65000E-06,-187.50000000E-03,+3.28125000000E+00
+4.70000E-06,-187.50000000E-03,+3.28125000000E+00
+4.75000E-06,-31.25000000E-03,+3.28125000000E+00
+4.80000E-06,-187.50000000E-03,+3.28125000000E+00
+4.85000E-06,-187.50000000E-03,+3.28125000000E+00
+4.90000E-06,-187.50000000E-03,+3.28125000000E+00
+4.95000E-06,-31.25000000E-03,+3.28125000000E+00
+5.00000E-06,-187.50000000E-03,+3.28125000000E+00
+5.05000E-06,-187.50000000E-03,+3.28125000000E+00
+5.10000E-06,-187.50000000E-03,+3.28125000000E+00
+5.15000E-06,-187.50000000E-03,+3.28125000000E+00
+5.20000E-06,-187.50000000E-03,+3.28125000000E+00
+5.25000E-06,-187.50000000E-03,+3.28125000000E+00
+5.30000E-06,-187.50000000E-03,+3.28125000000E+00
+5.35000E-06,-31.25000000E-03,+3.28125000000E+00
+5.40000E-06,-187.50000000E-03,+3.28125000000E+00
+5.45000E-06,-187.50000000E-03,+3.28125000000E+00
+5.50000E-06,-187.50000000E-03,+3.28125000000E+00
+5.55000E-06,-187.50000000E-03,+3.28125000000E+00
+5.60000E-06,-187.50000000E-03,+3.28125000000E+00
+5.65000E-06,-31.25000000E-03,+3.28125000000E+00
+5.70000E-06,-187.50000000E-03,+3.28125000000E+00
